CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
599.0833,,,ASSO,"Kit montaggio, Silenziatore",,Ricambio,1.0,41.9,,,1 pz,1,,,,
599.0846,,,ASSO,KIT MONTAGGIO SILENZIATORE,,Ricambio,1.0,26.9,,,1 pz,1,,,,
599.1005,,,ASSO,FASCETTA DIA. 120,,Ricambio,2.0,16.9,,,1 pz,1,,,,
040019,,,ATE,CILINDRO SECONDARIO FRIZIONE,,Ricambio,1.0,60.9,,,1 pz,1,,,,
107334,Unknown OE,,AUGER,FLESSIBILE,,Ricambio,1.0,19.9,,,1 pz,1,,,,
20215021/1,,,AUTOCLIMA,VALVOLA BLOCC.ND MOD.FIAT PUNTO,,Ricambio,1.0,17.9,,,1 pz,1,,,,
20215096CP,,,AUTOCLIMA,VALVOLA,,Ricambio,1.0,18.9,,,1 pz,1,,,,
20215111.1,,,AUTOCLIMA,VALVOLA,,Ricambio,1.0,21.9,,,1 pz,1,,,,
20215219,,,AUTOCLIMA,VALVOLA,,Ricambio,1.0,31.9,,,1 pz,1,,,,
20215242CP,,,AUTOCLIMA,VALVOLA,,Ricambio,1.0,17.9,,,1 pz,1,,,,
20215248.1,,,AUTOCLIMA,VALV.ESPAN.FLICA-HONEYWELL,,Ricambio,2.0,90.9,,,1 pz,1,,,,
20215288,,,AUTOCLIMA,VALVOLA,,Ricambio,1.0,19.9,,,1 pz,1,,,,
20215290,,,AUTOCLIMA,VALVOLA ESP.X MB ACTROS II MP2/MP3,,Ricambio,1.0,19.9,,,1 pz,1,,,,
2021589041.5,,,AUTOCLIMA,VALVOLA ESP,,Ricambio,1.0,15.9,,,1 pz,1,,,,
20220160,,,AUTOCLIMA,MOTORE VENTOLA HISPACOLD 24V,,Ricambio,1.0,171.9,,,1 pz,1,,,,
20220163,,,AUTOCLIMA,MOTORE VENTOLA HISPACOLD 24V,,Ricambio,1.0,176.9,,,1 pz,1,,,,
20222016,,,AUTOCLIMA,ELICA ELETTR.HISPACOLD 5 PALE,,Ricambio,1.0,23.9,,,1 pz,1,,,,
20222017,,,AUTOCLIMA,ELICA ELETTR.HISPACOLD 5 PALE,,Ricambio,1.0,24.9,,,1 pz,1,,,,
20230028,,,AUTOCLIMA,MOTORINO APERT.BOTOLA KONVEKTA,,Ricambio,1.0,52.9,,,1 pz,1,,,,
20235092,,,AUTOCLIMA,CENTR.DIGIT.CONTR.CLIMAT.12V-24V(SW,,Ricambio,1.0,75.9,,,1 pz,1,,,,
20280401,,,AUTOCLIMA,FILTRO ARIA X EVAPOR.HISPACOLD -,,Ricambio,2.0,18.9,,,1 pz,1,,,,
40460187,,,AUTOCLIMA,SERIE TENUTA,,Ricambio,1.0,99.9,,,1 pz,1,,,,
40460403,,,AUTOCLIMA,RUBINETTO S/FLANGIA,,Ricambio,1.0,112.9,,,1 pz,1,,,,
40460529,,,AUTOCLIMA,CUSCINETTO,,Ricambio,1.0,62.9,,,1 pz,1,,,,
40460623,,,AUTOCLIMA,KIT PREMISTOPPA X BITZER,,Ricambio,1.0,153.9,,,1 pz,1,,,,
40460643,,,AUTOCLIMA,PREMISTOPPA HISPACOLD C/FLANGIA,,Ricambio,1.0,349.9,,,1 pz,1,,,,
40460659,,,AUTOCLIMA,KIT O-RINGS GREEN HNBR X A/C 240PZ,,Ricambio,1.0,67.9,,,1 pz,1,,,,
40460660,,,AUTOCLIMA,SERIE GUARNIZ.X BITZER 4/6 TFC,,Ricambio,1.0,73.9,,,1 pz,1,,,,
40460808,,,AUTOCLIMA,RUBINETTO MANDATA TK X430,,Ricambio,1.0,358.9,,,1 pz,1,,,,
40460809,,,AUTOCLIMA,RUBINETTO ASPIRAZIONE TK X430,,Ricambio,1.0,368.9,,,1 pz,1,,,,
514777002,,,AUTOCLIMA,FILTRO DEIDRATORE,,Ricambio,1.0,18.9,,,1 pz,1,,,,
60652019/1,,,AUTOCLIMA,FILTRO Dm76 x h200 ORIZZONTALE,,Ricambio,1.0,22.9,,,1 pz,1,,,,
60652044,,,AUTOCLIMA,FILTRO,,Ricambio,1.0,19.9,,,1 pz,1,,,,
60652056.1,,,AUTOCLIMA,FILTRO DEIDR.HANSA HM305 M-M CONO,,Ricambio,5.0,37.9,,,1 pz,1,,,,
60652059/1,,,AUTOCLIMA,FILTRO,,Ricambio,3.0,14.9,,,1 pz,1,,,,
60652100/1,,,AUTOCLIMA,FILTRO MAN (TUTTE VERSIONI),,Ricambio,4.0,19.9,,,1 pz,1,,,,
60652101,,,AUTOCLIMA,FILTRO,,Ricambio,4.0,28.9,,,1 pz,1,,,,
60652102,,,AUTOCLIMA,FILTRO,,Ricambio,6.0,19.9,,,1 pz,1,,,,
60652157,,,AUTOCLIMA,FILTRO,,Ricambio,10.0,21.9,,,1 pz,1,,,,
60652172,,,AUTOCLIMA,FILTRO DEIDRATORE DML 163,,Ricambio,10.0,19.9,,,1 pz,1,,,,
60652185,,,AUTOCLIMA,FILTRO DEIDR. HANSA HM305 M-M,,Ricambio,2.0,38.9,,,1 pz,1,,,,
60652193,,,AUTOCLIMA,CARTUCCIA FILTRO DEIDRAT.FIAT STILO,,Ricambio,4.0,20.9,,,1 pz,1,,,,
60652201,,,AUTOCLIMA,FILTRO,,Ricambio,1.0,28.9,,,1 pz,1,,,,
60652202,,,AUTOCLIMA,FILTRO GAS DO-303/326,,Ricambio,1.0,72.9,,,1 pz,1,,,,
60652223,,,AUTOCLIMA,FILTRO,,Ricambio,1.0,43.9,,,1 pz,1,,,,
60652236,,,AUTOCLIMA,FILTRO DEIDRATORE DML165 5/8-5/8,,Ricambio,1.0,20.9,,,1 pz,1,,,,
60652237,,,AUTOCLIMA,FILTRO DEIDRATORE DML304 1/2-1/2,,Ricambio,1.0,26.9,,,1 pz,1,,,,
60652238,,,AUTOCLIMA,FILTRO DEIDRATORE DML305 5/8-5/8,,Ricambio,1.0,27.9,,,1 pz,1,,,,
60652357,,,AUTOCLIMA,FILTRO DEIDRATORE X MB SPRINTER 906,,Ricambio,4.0,19.9,,,1 pz,1,,,,
60652401,,,AUTOCLIMA,FILTRO,,Ricambio,1.0,24.9,,,1 pz,1,,,,
60652411,,,AUTOCLIMA,FILTRO DEIDRATORE DCL 053FS M-,,Ricambio,5.0,18.9,,,1 pz,1,,,,
60652498,,,AUTOCLIMA,FILTRO DEIDRAT.KONVECTA DM.76XH170,,Ricambio,1.0,59.9,,,1 pz,1,,,,
60656103,,,AUTOCLIMA,PRESSOSTATO L.P. KONVEKTA H11000315,,Ricambio,1.0,102.9,,,1 pz,1,,,,
60656143.1R,,,AUTOCLIMA,PRESSOSTATO L.P. B11-AA2-319 +,,Ricambio,1.0,80.9,,,1 pz,1,,,,
E2869003,21212410,,BERTO,ELETTROVALVOLA,,Ricambio,1.0,53.9,,,1 pz,1,,,,
G5550000,Unknown OE,8939000332,BERTO,KIT IMPUGNATURE GIUNTI ISO,,Ricambio,2.0,15.9,,,1 pz,1,,,,
1370T ( 500 gr.),Unknown OE,,BETA,Martello tipo tedesco,,Ricambio,2.0,19.9,,,1 pz,1,,,,
1491,Unknown OE,,BETA,Chiave a nastro,,Ricambio,3.0,27.9,,,1 pz,1,,,,
1492/2,Unknown OE,,BETA,Chiavi x filtri olio 80-110mm/2,,Ricambio,1.0,33.9,,,1 pz,1,,,,
1687/s4,Unknown OE,,BETA,Serie 4 punte di precisione,,Ricambio,2.0,21.9,,,1 pz,1,,,,
1712E/3,Unknown OE,,BETA,Flessibile magnetico,,Ricambio,1.0,34.9,,,1 pz,1,,,,
1756B,Unknown OE,,BETA,Siringa,,Ricambio,1.0,17.9,,,1 pz,1,,,,
1759A,Unknown OE,,BETA,Densimetro x liquido anticongelante,,Ricambio,2.0,98.9,,,1 pz,1,,,,
1759HD/3,Unknown OE,,BETA,Strumenti x controllo tenuta,,Ricambio,1.0,288.9,,,1 pz,1,,,,
1838SW,Unknown OE,,BETA,Lampada snodata ricar.,,Ricambio,9.0,55.9,,,1 pz,1,,,,
1895/6,Unknown OE,,BETA,Vasca Ultrasuoni 6lt,,Ricambio,1.0,373.9,,,1 pz,1,,,,
720RNG,Unknown OE,,BETA,Chiave bussola x dadi ruota Jeep,,Ricambio,1.0,17.9,,,1 pz,1,,,,
7241 CK (TG. 42),Unknown OE,,BETA,Scarpe in pelle idrorepellente,,Ricambio,2.0,33.9,,,1 pz,1,,,,
900/55,Unknown OE,,BETA,"Cricchetto 125 mm 1/4""",,Ricambio,4.0,29.9,,,1 pz,1,,,,
920/55,Unknown OE,,BETA,"Cricchetto da 1/2""",,Ricambio,1.0,36.9,,,1 pz,1,,,,
950 (13 mm),Unknown OE,,BETA,Chiavi a T semplici esag.,,Ricambio,1.0,21.9,,,1 pz,1,,,,
20140208260,04101609164 | 04903009025 | 06012845113 | 06112716405 | 06150150411 | 06160490024 | 06563334245 | 51051020101 | 51051046195 | 51051046196 | 51052070010 | 46600,,BF,POMPA OLIO,,Ricambio,1.0,105.9,,,1 pz,1,,,,
20140208360,04101609164 | 04903009025 | 06012845113 | 06112716405 | 06150150411 | 06160490024 | 06563334245 | 51051020090 | 51051046201 | 51051046202 | 51052070010,,BF,POMPA OLIO,,Ricambio,1.0,100.9,,,1 pz,1,,,,
99207,Unknown OE,,BICMA,ADESIVO MOTRICE 2PZ RF 565X132MM,,Ricambio,4.0,14.9,,,1 pz,1,,,,
BR1432,,,BIRTH,BRACCIO SOSPENSIONE DX,,Ricambio,1.0,52.9,,,1 pz,1,,,,
BR1433,,,BIRTH,BRACCIO SOSPENSIONE SX,,Ricambio,1.0,52.9,,,1 pz,1,,,,
ADG04234,Unknown OE,,BLUE-PRINT,PASTIGLIE,,Ricambio,1.0,23.9,,,1 pz,1,,,,
0124525125,,,BOSCH,ALTERNATORE 150A 14V,,Ricambio,1.0,185.9,,,1 pz,1,,,,
0124555008,,,BOSCH,ALTERNATORE,,Ricambio,1.0,213.9,,,1 pz,1,,,,
0124655102,,,BOSCH,ALTERNATORE,,Ricambio,1.0,281.9,,,1 pz,1,,,,
0124655181,,,BOSCH,ALTERNATORE,,Ricambio,1.0,275.9,,,1 pz,1,,,,
0132801141,,,BOSCH,SERVOMOTORE,,Ricambio,5.0,28.9,,,1 pz,1,,,,
